|0|0.buoys|0.ships|1|1.buoys|1.ships|2|2.buoys|2.ships|nreports|nreports.buoys|nreports.ships
1944-04-01|36037|0|36037|714.0|0|714.0|207.0|0|207.0|36958|0|36958
1944-05-01|37822|0|37822|858.0|0|858.0|272.0|0|272.0|38952|0|38952
1944-06-01|39426|0|39426|880.0|0|880.0|317.0|0|317.0|40623|0|40623
1944-07-01|38875|0|38875|771.0|0|771.0|396.0|0|396.0|40042|0|40042
1944-08-01|39617|0|39617|798.0|0|798.0|373.0|0|373.0|40788|0|40788
1944-09-01|38787|0|38787|881.0|0|881.0|246.0|0|246.0|39914|0|39914
1944-10-01|39558|0|39558|989.0|0|989.0|265.0|0|265.0|40812|0|40812
1944-11-01|35974|0|35974|880.0|0|880.0|265.0|0|265.0|37119|0|37119
1944-12-01|36214|0|36214|695.0|0|695.0|235.0|0|235.0|37144|0|37144
1945-01-01|37077|0|37077|753.0|0|753.0|308.0|0|308.0|38138|0|38138
1945-02-01|35128|0|35128|592.0|0|592.0|206.0|0|206.0|35926|0|35926
1945-03-01|42412|0|42412|666.0|0|666.0|262.0|0|262.0|43340|0|43340
1945-04-01|49859|0|49859|624.0|0|624.0|400.0|0|400.0|50883|0|50883
1945-05-01|53196|0|53196|870.0|0|870.0|360.0|0|360.0|54426|0|54426
1945-06-01|56118|0|56118|694.0|0|694.0|364.0|0|364.0|57176|0|57176
1945-07-01|53077|0|53077|383.0|0|383.0|586.0|0|586.0|54046|0|54046
1945-08-01|53429|0|53429|389.0|0|389.0|796.0|0|796.0|54614|0|54614
1945-09-01|50640|0|50640|473.0|0|473.0|667.0|0|667.0|51780|0|51780
1945-10-01|53017|0|53017|501.0|0|501.0|485.0|0|485.0|54003|0|54003
1945-11-01|53325|0|53325|604.0|0|604.0|700.0|0|700.0|54629|0|54629
1945-12-01|50931|0|50931|529.0|0|529.0|483.0|0|483.0|51943|0|51943
1946-01-01|36140|0|36140|442.0|0|442.0|210.0|0|210.0|36792|0|36792
1946-02-01|26855|0|26855|351.0|0|351.0|376.0|0|376.0|27582|0|27582
1946-03-01|26972|0|26972|893.0|0|893.0|461.0|0|461.0|28326|0|28326
1946-04-01|29660|0|29660|1024.0|0|1024.0|508.0|0|508.0|31192|0|31192
1946-05-01|29196|0|29196|1018.0|0|1018.0|652.0|0|652.0|30866|0|30866
1946-06-01|25148|0|25148|696.0|0|696.0|562.0|0|562.0|26406|0|26406
1946-07-01|29350|0|29350|734.0|0|734.0|545.0|0|545.0|30629|0|30629
1946-08-01|28266|0|28266|809.0|0|809.0|328.0|0|328.0|29403|0|29403
1946-09-01|27940|0|27940|556.0|0|556.0|215.0|0|215.0|28711|0|28711
1946-10-01|28930|0|28930|410.0|0|410.0|258.0|0|258.0|29598|0|29598
1946-11-01|28875|0|28875|696.0|0|696.0|222.0|0|222.0|29793|0|29793
1946-12-01|26774|0|26774|990.0|0|990.0|158.0|0|158.0|27922|0|27922
1947-01-01|25976|0|25976|772.0|0|772.0|182.0|0|182.0|26930|0|26930
